"data.datetime","N","mean"
"1","00",5524,3.15845220854453
"2","01",1657,2.96397706698853
"3","02",1090,2.59488073394495
"4","03",1090,2.09220183486239
"5","04",1576,3.32596446700508
"6","05",10027,1.85242644858881
"7","06",28959,2.89855796125557
"8","07",47947,3.70037312032035
"9","08",45680,4.62596563047285
"10","09",33434,4.52673954656936
"11","10",21548,3.99963384072768
"12","11",38065,4.27220622619204
"13","12",40249,4.48346965141991
"14","13",41989,4.65339350782348
"15","14",43023,4.61420031146131
"16","15",49199,4.89174373462875
"17","16",54618,5.45513090922407
"18","17",41430,5.84419020033792
"19","18",43440,6.50404005524862
"20","19",35169,5.47044641587762
"21","20",39787,4.90697288058914
"22","21",32338,5.13292689714886
"23","22",22528,5.34616521661932
"24","23",17180,4.20447322467986
