"data.datetime","N","mean"
"1","2015-05-22 20",5558,4.11534724721123
"2","2015-05-22 21",5093,4.60248183781661
"3","2015-05-22 22",3923,5.22603619678817
"4","2015-05-22 23",2743,4.11601895734597
"5","2015-05-23 00",1214,3.01447281713344
"6","2015-05-23 07",4317,3.10236970118138
"7","2015-05-23 08",4141,3.35487080415359
"8","2015-05-23 09",1765,3.19032861189802
"9","2015-05-23 10",6438,3.29898105001553
"10","2015-05-23 11",6255,3.7219584332534
"11","2015-05-23 12",5963,3.72483984571524
"12","2015-05-23 13",6326,4.5392696806829
"13","2015-05-23 14",6328,4.95242572692794
"14","2015-05-23 15",6340,4.12581545741325
"15","2015-05-23 16",6481,3.90076531399475
"16","2015-05-23 17",6274,4.4557044947402
"17","2015-05-23 18",6403,4.36150242074028
"18","2015-05-23 19",5259,4.08670849971477
"19","2015-05-23 20",4351,4.07110089634567
"20","2015-05-23 21",4452,5.68017070979335
"21","2015-05-23 22",3357,5.49355972594578
"22","2015-05-23 23",2209,3.73070620190131
"23","2015-05-24 00",821,6.03466504263094
"24","2015-05-24 01",30,3.49166666666667
"25","2015-05-24 02",137,3.42510948905109
"26","2015-05-24 03",159,2.85490566037736
"27","2015-05-24 04",223,5.792466367713
"28","2015-05-24 05",117,1.79350427350427
"29","2015-05-24 06",1378,2.03833091436865
"30","2015-05-24 07",2874,3.83783576896312
"31","2015-05-24 08",3541,4.36243998870376
"32","2015-05-24 09",4110,3.50362773722628
"33","2015-05-24 10",4661,3.95197811628406
"34","2015-05-24 11",4631,4.30916648671993
"35","2015-05-24 12",5129,4.8832072528758
"36","2015-05-24 13",5256,4.39057077625571
"37","2015-05-24 14",5275,5.17794691943128
"38","2015-05-24 15",5011,5.2130093793654
"39","2015-05-24 16",5611,4.55441632507574
"40","2015-05-24 17",5542,4.50181883796463
"41","2015-05-24 18",2327,4.68309840996992
"42","2015-05-24 19",2663,4.24877206158468
"43","2015-05-24 20",4506,4.79167554371949
