Stop_ID,FIPS,mix_x,max_x,min_y,max_y
1_69670,530330222013007,-122.243999,-122.229213,47.724255,47.728008
1_46660,530330255002012,-122.16938,-122.164532,47.49847,47.501419
1_75580,530330202003003,-122.377394,-122.371904,47.767769,47.774851
1_75585,530330203003007,-122.351237,-122.348504,47.763223,47.76504
1_22510,530330120002003,-122.375935,-122.374641,47.508187,47.509988
1_23640,530330027001012,-122.322962,-122.320254,47.686758,47.687505
1_25790,530330053023000,-122.30466,-122.286709,47.64742,47.661222
1_25792,530330043011003,-122.300618,-122.299554,47.666265,47.667993
1_69660,530330222014008,-122.231863,-122.229166,47.727869,47.730191
1_25791,530330043011012,-122.300912,-122.298831,47.663263,47.664281
1_46650,530330255002011,-122.166018,-122.164573,47.499705,47.501131
1_25794,530330043012003,-122.300653,-122.299585,47.672148,47.675773
1_25793,530330043012012,-122.300628,-122.299565,47.668522,47.669986
1_75590,530330201001006,-122.382703,-122.377229,47.77063,47.774252
1_75592,530330201002011,-122.384138,-122.382663,47.770657,47.771711
1_75594,530330201002008,-122.388483,-122.386503,47.771703,47.772597
1_25795,530330038002013,-122.300653,-122.298401,47.675772,47.677592
1_25796,530330038002004,-122.300733,-122.299594,47.679407,47.682022
1_25797,530330025001015,-122.30087,-122.295887,47.683045,47.686757
1_25798,530330025001015,-122.30087,-122.295887,47.683045,47.686757
1_10990,530330066001009,-122.325052,-122.320208,47.628666,47.632277
1_85669,530330238041000,-122.207086,-122.201607,47.613829,47.61744
1_23650,530330027001012,-122.322962,-122.320254,47.686758,47.687505
1_22520,530330120002004,-122.376123,-122.374772,47.509981,47.511913
1_69650,530330222014000,-122.231801,-122.229089,47.731835,47.733328
1_46680,530330255002014,-122.168727,-122.164383,47.494662,47.4978
1_75566,530330209001009,-122.353237,-122.345374,47.741344,47.745051
1_75560,530330202005005,-122.366617,-122.361207,47.765063,47.766949
1_46671,530330251024016,-122.156353,-122.151009,47.488449,47.492068
1_46672,530330255003014,-122.166678,-122.164351,47.493822,47.49468
1_69640,530330221024013,-122.233013,-122.229008,47.733303,47.737003
1_46670,530330255002014,-122.168727,-122.164383,47.494662,47.4978
1_75570,530330202003003,-122.377394,-122.371904,47.767769,47.774851
1_85640,530330238042003,-122.198931,-122.196237,47.613789,47.615571
1_23630,530330027001013,-122.320265,-122.317554,47.68673,47.687491
1_22500,530330121002012,-122.376068,-122.374584,47.504599,47.506395
1_46675,530330251024005,-122.164495,-122.158258,47.495726,47.497585
1_46674,530330255001000,-122.167802,-122.164267,47.491468,47.492217
1_46673,530330251024014,-122.156406,-122.15427,47.490338,47.492084
1_23680,530330019002014,-122.323033,-122.320316,47.692203,47.693132
1_45219,530330253013034,-122.207508,-122.202219,47.492064,47.495651
1_61830,530330302011016,-122.356204,-122.353843,47.322375,47.323984
1_69630,530330221024002,-122.232857,-122.228916,47.738071,47.740596
1_46620,530330255002008,-122.169422,-122.167274,47.501367,47.503015
1_23690,530330019002010,-122.323054,-122.320322,47.694026,47.694955
1_69620,530330221024002,-122.232857,-122.228916,47.738071,47.740596
1_46610,530330255002004,-122.174067,-122.172602,47.501853,47.50308
1_61820,530330302011014,-122.354511,-122.3491,47.322373,47.326148
1_35710,530330046001000,-122.346693,-122.325713,47.669822,47.685666
1_10950,530330061002027,-122.321354,-122.32006,47.639541,47.641353
1_45230,530330253013037,-122.203386,-122.202219,47.490281,47.492093
1_67390,530330231001000,-122.112479,-122.110995,47.616788,47.621427
1_23660,530330027001004,-122.322982,-122.320276,47.688215,47.688952
1_61810,530330302011015,-122.350088,-122.348103,47.322379,47.324197
1_69610,530330221013000,-122.241082,-122.237156,47.73338,47.740678
1_46640,530330255002010,-122.166525,-122.164624,47.501112,47.502986
1_67380,530330231001009,-122.111002,-122.107237,47.616773,47.620515
1_23670,530330019002018,-122.323012,-122.320309,47.690381,47.691307
1_61800,530330302011013,-122.349126,-122.345361,47.322381,47.326047
1_10970,530330065001020,-122.321396,-122.320082,47.635908,47.637254
1_69600,530330221013001,-122.241685,-122.240895,47.73969,47.740686
1_46630,530330255002010,-122.166525,-122.164624,47.501112,47.502986
1_35741,530330044002000,-122.313133,-122.311923,47.674477,47.675792
1_35740,530330044002002,-122.31566,-122.314345,47.674978,47.675813
1_22590,530330115002018,-122.376702,-122.375295,47.522858,47.524654
1_35720,530330046001000,-122.346693,-122.325713,47.669822,47.685666
1_46600,530330254001001,-122.17821,-122.176244,47.5017,47.503092
1_22570,530330114023008,-122.376791,-122.375405,47.519266,47.521068
1_22580,530330115002025,-122.376764,-122.375351,47.521062,47.522859
1_23600,530330026004011,-122.316773,-122.315097,47.683053,47.685274
1_22557,530330114023003,-122.3714,-122.365875,47.517377,47.521038
1_22550,530330120001001,-122.376887,-122.375279,47.513722,47.517486
1_22553,530330114023008,-122.376791,-122.375405,47.519266,47.521068
1_85630,530330238042000,-122.198995,-122.196298,47.615497,47.617416
1_24690,530330057006004,-122.403586,-122.40089,47.655856,47.659306
1_35780,530330044004000,-122.313052,-122.311883,47.666426,47.668517
1_68100,530330236011008,-122.174966,-122.172302,47.616658,47.617339
1_23610,530330026004013,-122.317529,-122.316227,47.683059,47.685291
1_22560,530330114023009,-122.376887,-122.37546,47.517471,47.519273
1_35790,530330044004009,-122.313076,-122.311918,47.664891,47.666434
1_22530,530330120001010,-122.376376,-122.375025,47.511853,47.513722
1_74476,530330237001034,-122.164395,-122.157238,47.624373,47.628037
1_74474,530330237001034,-122.164395,-122.157238,47.624373,47.628037
1_74472,530330237001041,-122.167078,-122.164377,47.621559,47.628066
1_24670,530330057006000,-122.397598,-122.396102,47.658397,47.660041
1_35760,530330044002023,-122.313015,-122.3119,47.671203,47.672104
1_22540,530330120001001,-122.376887,-122.375279,47.513722,47.517486
1_74482,530330228033051,-122.143093,-122.13769,47.627863,47.631546
1_24680,530330057005008,-122.403575,-122.398217,47.658553,47.665881
1_68010,530330238011013,-122.201417,-122.195988,47.596584,47.610136
1_37480,530330042002002,-122.284906,-122.2822,47.673965,47.675786
1_24780,530330056004006,-122.402362,-122.400967,47.641165,47.643173
1_38530,530330021003002,-122.305363,-122.301476,47.689982,47.695747
1_82237,530330019002012,-122.320322,-122.3176,47.693099,47.694026
1_74465,530330240001035,-122.196323,-122.190973,47.621036,47.626108
1_74464,530330240001028,-122.196275,-122.19093,47.624184,47.631527
1_74463,530330240001028,-122.196275,-122.19093,47.624184,47.631527
1_31430,530330058011008,-122.384673,-122.383359,47.648451,47.650327
1_74462,530330240001028,-122.196275,-122.19093,47.624184,47.631527
1_74461,530330240001013,-122.192197,-122.190926,47.631192,47.631834
1_74460,530330240001000,-122.199808,-122.196175,47.641309,47.642932
1_82235,530330019002008,-122.320328,-122.317591,47.694921,47.695849
1_81188,530330309011012,-122.255639,-122.252371,47.285104,47.286372
1_67400,530330231001005,-122.114633,-122.111547,47.616825,47.619496
1_81186,530330309011027,-122.254889,-122.252337,47.283899,47.285121
1_82230,530330002004001,-122.31275,-122.310027,47.732096,47.73395
1_76925,530330218033024,-122.212492,-122.203748,47.751429,47.759373
1_81182,530330309011031,-122.253278,-122.248225,47.279097,47.282711
1_68020,530330238041010,-122.201503,-122.200072,47.606428,47.610147
1_24770,530330056004005,-122.402338,-122.400947,47.643156,47.645003
1_81190,530330309011038,-122.255038,-122.252454,47.28877,47.290009
1_38540,530330021003002,-122.305363,-122.301476,47.689982,47.695747
1_37490,530330042002001,-122.28222,-122.280858,47.673966,47.675787
1_74453,530330237003016,-122.191075,-122.187463,47.634017,47.637455
1_31420,530330058021001,-122.384665,-122.38335,47.64658,47.648454
1_74452,530330237003030,-122.184833,-122.181229,47.632081,47.632885
1_74455,530330240001002,-122.196294,-122.188434,47.633947,47.641309
1_74454,530330237001029,-122.175083,-122.171062,47.626312,47.629535
1_81199,530330308011024,-122.232524,-122.230358,47.271931,47.303521
