blockid, max_y, min_y, max_x, min_x
530330001002002,47.730112,47.728282,-122.290955,-122.292313
530330001002006,47.730181,47.727906,-122.293628,-122.296503
530330001002009,47.728286,47.726474,-122.292228,-122.293628
530330001002011,47.727984,47.72649,-122.294199,-122.296427
530330001003002,47.726474,47.722635,-122.290839,-122.293192
530330001003003,47.72273,47.719252,-122.29077,-122.292731
530330001003005,47.722974,47.719214,-122.286291,-122.288604
530330001004000,47.733762,47.731941,-122.292374,-122.293833
530330001004001,47.733784,47.731953,-122.29381,-122.296544
530330001004002,47.731975,47.730115,-122.293833,-122.296551
530330001005001,47.726509,47.724702,-122.294598,-122.296406
530330001005002,47.724702,47.722888,-122.294568,-122.296383
530330001005004,47.7229,47.72109,-122.293192,-122.29636
530330001005005,47.7229,47.719263,-122.291989,-122.295234
530330001005006,47.721091,47.719277,-122.294162,-122.296337
530330002001000,47.733806,47.732712,-122.29652,-122.29923
530330002001002,47.733828,47.732007,-122.300523,-122.301967
530330002001007,47.731986,47.730149,-122.296503,-122.297924
530330002001008,47.730171,47.727906,-122.296427,-122.299236
530330002001014,47.728352,47.726509,-122.296406,-122.299174
530330002001018,47.724725,47.722898,-122.29636,-122.299138
530330002002004,47.722981,47.719314,-122.301827,-122.307327
530330002002008,47.721213,47.719363,-122.307273,-122.309105
530330002002012,47.722919,47.721091,-122.296337,-122.299122
530330002002013,47.7211,47.719283,-122.296315,-122.297722
530330002002014,47.721109,47.719289,-122.297703,-122.299106
530330002003000,47.734052,47.724886,-122.312652,-122.323589
530330002003001,47.724933,47.722216,-122.318105,-122.323566
530330002003003,47.722858,47.721297,-122.320834,-122.323579
530330002003006,47.721438,47.719448,-122.318134,-122.320864
530330002004001,47.73395,47.732096,-122.310027,-122.31275
530330002004002,47.732124,47.730272,-122.310007,-122.312725
530330002004005,47.730298,47.728438,-122.309986,-122.312701
530330002004006,47.728457,47.726611,-122.312012,-122.312676
530330002004009,47.728438,47.727506,-122.307253,-122.309986
530330002004010,47.72753,47.726586,-122.307237,-122.309976
530330002005003,47.723051,47.721221,-122.312664,-122.315399
530330002005004,47.723995,47.719396,-122.310878,-122.31268
530330002005009,47.721231,47.719436,-122.312672,-122.314044
530330002006001,47.73386,47.732457,-122.303357,-122.304844
530330002006004,47.733904,47.732067,-122.307312,-122.308696
530330002006005,47.732081,47.730245,-122.307295,-122.308678
530330002006006,47.732145,47.730245,-122.305597,-122.307312
530330002006011,47.730258,47.728405,-122.307268,-122.308659
530330002006012,47.730529,47.728384,-122.306048,-122.307295
530330003001000,47.73406,47.731524,-122.323521,-122.324523
530330003001004,47.734071,47.730639,-122.324565,-122.326383
530330003001005,47.734093,47.730448,-122.325146,-122.328881
530330003001007,47.734114,47.732281,-122.330226,-122.331579
530330003001009,47.734135,47.73048,-122.332775,-122.334277
530330003001010,47.734135,47.732313,-122.334257,-122.335333
530330003001013,47.732314,47.72867,-122.334217,-122.335593
530330003001015,47.730493,47.728648,-122.331546,-122.334237
530330003001025,47.731528,47.723093,-122.323517,-122.324191
530330003001029,47.728371,47.726776,-122.326204,-122.328872
530330003002001,47.734133,47.73231,-122.336964,-122.338076
530330003002005,47.73413,47.732309,-122.340725,-122.341337
530330003002010,47.734128,47.733294,-122.343996,-122.345098
530330004011000,47.734127,47.732308,-122.345078,-122.347803
530330004011001,47.734128,47.732312,-122.347736,-122.351774
530330004011004,47.734129,47.732312,-122.354254,-122.355572
530330004011005,47.732313,47.727768,-122.347726,-122.355569
530330004011009,47.726914,47.723217,-122.344978,-122.348143
530330004012000,47.734136,47.733204,-122.35557,-122.359169
530330004012002,47.733217,47.732318,-122.357732,-122.360934
530330004012004,47.732318,47.730496,-122.355565,-122.357732
530330004012007,47.732326,47.730509,-122.359593,-122.360938
530330004012008,47.730514,47.728721,-122.359595,-122.360945
530330004012013,47.728739,47.728226,-122.355559,-122.358251
530330004012016,47.728237,47.725048,-122.355552,-122.358251
530330004013000,47.728739,47.723217,-122.347677,-122.355559
530330004013003,47.726268,47.725909,-122.347729,-122.348431
530330004021001,47.723225,47.721406,-122.351623,-122.35291
530330004021003,47.723232,47.721413,-122.354183,-122.355548
530330004021004,47.723239,47.721416,-122.355544,-122.356888
530330004021014,47.721416,47.719596,-122.354182,-122.355544
530330004022000,47.723239,47.7223,-122.344968,-122.347378
530330004022001,47.72322,47.722305,-122.34735,-122.34829
530330004022004,47.721402,47.71957,-122.344938,-122.349505
530330004022011,47.715955,47.708011,-122.344745,-122.350208
530330004023003,47.715971,47.714154,-122.354196,-122.355525
530330004023008,47.715997,47.714174,-122.359547,-122.360913
530330004023009,47.714179,47.712356,-122.359534,-122.360891
530330004023013,47.714163,47.712343,-122.35551,-122.356861
530330004024003,47.7196,47.717782,-122.354194,-122.35554
530330004024005,47.721432,47.7196,-122.35554,-122.35825
530330004024012,47.718067,47.715971,-122.355525,-122.35724
530330004024019,47.717815,47.715991,-122.359566,-122.360936
530330005001000,47.734145,47.726978,-122.360931,-122.374376
530330005001006,47.725099,47.723287,-122.366345,-122.367872
530330005001015,47.728721,47.725075,-122.360942,-122.366345
530330005002000,47.725081,47.723262,-122.360948,-122.362304
