blockid, hour, avg_delay, std_delay
530330001002002,5,00:02:23,00:00:18
530330001002002,6,00:06:28,00:07:20
530330001002002,7,00:01:18,00:06:09
530330001002002,8,00:01:45,00:04:09
530330001002002,9,00:00:57,00:01:28
530330001002002,10,00:-2:-1,00:02:49
530330001002002,11,00:04:47,00:08:09
530330001002002,12,00:09:15,00:17:36
530330001002002,13,00:03:00,00:07:12
530330001002002,14,00:00:48,00:01:51
530330001002002,15,00:02:34,00:08:11
530330001002002,16,00:02:33,00:05:17
530330001002002,17,00:01:54,00:06:52
530330001002002,18,00:-1:-19,00:04:09
530330001002002,19,00:03:57,00:04:48
530330001002002,20,00:02:02,00:02:13
530330001002002,21,00:02:35,00:04:18
530330001002002,22,00:00:44,00:01:41
530330001002002,23,00:02:46,00:02:56
530330001002006,6,00:02:03,00:00:01
530330001002006,7,00:01:25,00:00:48
530330001002006,8,00:03:03,00:04:03
530330001002006,9,00:06:21,00:09:22
530330001002006,10,00:03:49,00:10:53
530330001002006,11,00:00:55,00:03:54
530330001002006,12,00:06:20,00:06:31
530330001002006,13,00:03:19,00:02:40
530330001002006,14,00:02:45,00:03:55
530330001002006,15,00:04:28,00:02:59
530330001002006,16,00:03:32,00:02:15
530330001002006,17,00:06:02,00:06:18
530330001002006,18,00:04:02,00:03:49
530330001002006,19,00:07:22,00:06:43
530330001002006,20,00:06:02,00:06:24
530330001002006,21,00:03:55,00:08:39
530330001002006,22,00:03:43,00:00:46
530330001002006,23,00:04:37,00:03:49
530330001002009,4,00:00:07,00:01:35
530330001002009,5,00:01:02,00:00:53
530330001002009,6,00:01:47,00:03:09
530330001002009,7,00:02:48,00:03:33
530330001002009,8,00:02:06,00:03:54
530330001002009,9,00:02:10,00:02:28
530330001002009,10,00:02:17,00:02:05
530330001002009,11,00:09:23,00:14:45
530330001002009,12,00:03:01,00:03:44
530330001002009,13,00:03:43,00:03:42
530330001002009,14,00:05:09,00:05:59
530330001002009,15,00:02:49,00:03:27
530330001002009,16,00:04:36,00:04:48
530330001002009,17,00:04:29,00:03:24
530330001002009,18,00:04:49,00:06:54
530330001002009,19,00:05:27,00:06:24
530330001002009,20,00:05:50,00:09:56
530330001002009,21,00:03:04,00:01:16
530330001002009,22,00:06:08,00:05:56
530330001002009,23,00:04:24,00:08:58
530330001002011,6,00:02:03,00:00:01
530330001002011,7,00:01:25,00:00:48
530330001002011,8,00:03:15,00:03:50
530330001002011,9,00:05:32,00:08:59
530330001002011,10,00:02:09,00:09:46
530330001002011,11,00:01:34,00:03:09
530330001002011,12,00:06:23,00:06:32
530330001002011,13,00:03:22,00:02:32
530330001002011,14,00:02:49,00:03:57
530330001002011,15,00:04:28,00:02:59
530330001002011,16,00:03:32,00:02:15
530330001002011,17,00:06:02,00:06:18
530330001002011,18,00:03:53,00:03:44
530330001002011,19,00:07:08,00:06:46
530330001002011,20,00:06:02,00:06:24
530330001002011,21,00:03:55,00:08:39
530330001002011,22,00:03:43,00:00:46
530330001002011,23,00:04:37,00:03:49
530330001003002,0,00:03:12,00:01:57
530330001003002,1,00:02:39,
530330001003002,5,00:00:-32,00:02:44
530330001003002,6,00:01:37,00:04:28
